ID,NAME,CATEGORY,CHECK-IN,LAT,LONG
4f1eb45ee4b0293a86501bdc,McDonald's ™ƒø_™€ø¿™š™Êø_™‹ø¿ø_,Plaza,2802,24.71361189,46.63335591
4f1eb45ee4b0293a86501bdc,Dunkin' Donuts,Plaza,5682,24.71336318,46.63372815
4f1eb45ee4b0293a86501bdc,Baskin Robbins | øÂø_ø_™€™Ê ø±™šøÂ™Êø_,Plaza,796,24.71332848,46.63377055
4e2021be18a88345f03cd013,Subway | øµøÂ ™šø_™_,Resraurant,1732,24.714667,46.634617
4e973ca4722eef174f72d523,Herfy Cafe & Grill | ™ˆø±™™_ ™€ø¢™™_™ˆ ø_™Êø¿ ™‰ø±™_™‹,Coffee Shop,2233,24.74429559,46.62133287
4e973ca4722eef174f72d523,Panda øÂ™Êø¿™ˆ,Coffee Shop,1866,24.7442411,46.62139882
4e973ca4722eef174f72d523,Tutti Cafe | øÈ™šøÈ™_ ™€ø_™™_™ˆ,Coffee Shop,13086,24.74540173,46.62024472
4cf925a14464b60ca97964f8,Dunkin' Donuts | ø¿ø_™Ê™€™Ê ø¿™š™ÊøÈø_,Coffee Shop,4969,24.78023325,46.66345922
4ecbd1a093adb4bd1b56c555,Manoosha | ™ƒ™Êø_øÇø©,Mediterranean Restaurant,1387,24.77818205,46.66396369
4ecbd1a093adb4bd1b56c555,Anoosh | ø£™Ê™šøÇ,Mediterranean Restaurant,2322,24.77812586,46.66402969
51b22cd0498ef72ef8df784c,Java Cafe | øåø_™ø_ ™€ø_™™_™ˆ,Coffee Shop,3281,24.77185205,46.66716977
52151be511d28592d8410438,Burger & Burger | øÂø±øåø± ø¢™Êø¿ øÂø±øåø±,Resraurant,1638,24.81989696,46.64256832
512e4182e4b05f7d4843766f,Whites Pharmacy,Drugstore / Pharmacy,237,24.81989045,46.64260602
512e4182e4b05f7d4843766f,DQ Grill & Chill,Drugstore / Pharmacy,3398,24.81914174,46.64287464
5197bf24498ec577cf5bb723,ø¬™™_™ | Khafif,Restaurant,147,24.8200385,46.64271441
51f4590b498e369ef2e4fd00,Burgy | øÂø±™‰™_,Resraurant,674,24.81961177,46.64273326
54c90c91498e622b8b8e2e70,Starbucks | ø_øÈø_ø±øÂ™€ø_,Coffee Shop,541,24.79084994,46.64875643
52851cc711d28cd203abc725,™ƒø_™_ø_øÈø±™š øÂ™_øÈø_ø_ | Maestro Pizza,Pizza Place,1101,24.78969995,46.64845478
52a8b7fb11d2292923a38c7d,Jan Burger | øåø_™Ê øÂø±øåø±,Resraurant,923,24.78978661,46.64832753
53de1388498e478b059e1d7d,Menchie's  (™ƒ™ÊøÇ™_ø_),Frozen Yogurt,358,24.79018127,46.64867631
530b9841498e9d01f354d57c,Saldwich | ø_ø_™‹ø¿™šøÈøÇ,Salad Place,796,24.78980866,46.64851606
4b9948a2f964a520097035e3,dr.CAFE COFFEE | ø¿. ™€™_™,Coffee Shop,2737,24.78665447,46.65966879
4f6de0dae4b01489ba002603,Burger Box | øÂø±øåø± øÂ™€ø_,Resraurant,3988,24.77190629,46.66782516
53bc7155498e75461da91ef5,dr.CAFE COFFEE || ø¿. ™€™_™,Coffee Shop,995,24.76666622,46.65921623
53bc7155498e75461da91ef5,AlBujairi Square | ø_ø_ø_ø© ø_™‹øÂøå™_ø±™_,Coffee Shop,5049,24.73701887,46.574738
55a8199d498e61367d215ad2,Fresh Market | ™ø±™_øÇ ™ƒø_ø±™€øÈ,Coffee Shop,12,24.76840007,46.66096524
53aea9b6498e1da25de38ae2,dip n dip | ø¿™_øÂ ø«™Ê ø¿™_øÂ,Coffee Shop,931,24.74330473,46.65872123
4ee0b8af93ad1adedc126bde,Spring Rose | ø_™ˆø±ø© ø_™‹ø±øÂ™_ø_,Flower Shop,2049,24.74429657,46.65432309
4ee0b8af93ad1adedc126bde,balloonizer,Flower Shop,492,24.74380263,46.65414397
50ae9bdce4b03c6b1d2395ff,Taxi,Resraurant,300,24.71325662,46.63369045
4d98c87b744f3704d7dff757,Steak House | ø_øÈ™_™€ ™ˆø_™šø_,Restaurant,2107,24.78059864,46.73057464
4d98c87b744f3704d7dff757,Pinkberry | ™_™Ê™€øÂ™_ø±™_,Restaurant,3230,24.78268245,46.73000336
4f2ad24ae4b050ce91a076f1,Pane Piatto | øÂø_™Ê™_ øÂ™_ø_øÈ™š,Coffee Shop,304,24.78709127,46.66050794
4dee531fe4cd032b189f9735,Burgerizzr | øÂø±ø_ø±ø_™_ø_ø_ø±,Resraurant,1282,24.78783708,46.65973479
55c3580e498e110cb64902ed,Buffalo Wings & Rings,Wings Joint,1142,24.78032517,46.66284084
546f3643498e7269b251c2c9,BIG SMOKE BURGER | øÂ™_øå ø_™ƒ™š™€ øÂø±øåø±,Restaurant,815,24.78053722,46.66267188
531e16bd498efd001f4e1e60,Fire Grill | ™ø_™_ø± øåø±™_™‹,Restaurant,3118,24.78295821,46.6615734
531e16bd498efd001f4e1e60,Gloria Jean's Coffee | ø_™‹™šø±™_ø_ øå™_™Êø_ ™€™š™™_,Restaurant,6583,24.7815184,46.66243615
531e16bd498efd001f4e1e60,Johnny Rocket's | øå™š™Ê™_ ø±™š™€™_øÈø_,Restaurant,11366,24.77996503,46.66308676
