TAZ,Saudi Male,Saudi Female,Total_Saudi,Non-Saudi Male,Non-Saudi Female,Total_Non_Saudi,Total Pop
385,313,300,613,179,202,381,994
386,14110,13529,27639,4212,4729,8941,36580
387,17078,16374,33452,3726,4184,7910,41362
388,0,0,0,0,0,0,0
389,17,0,17,354,0,354,371
390,112,0,112,1231,0,1231,1343
391,58,47,105,345,54,399,504
392,2369,2016,4385,1344,659,2003,6388
393,2338,1990,4328,1346,660,2006,6334
394,7169,6102,13271,6899,3385,10284,23555
395,6525,5553,12078,3637,1785,5422,17500
396,1716,1538,3254,331,257,588,3842
397,10815,9694,20509,1528,1188,2716,23225
398,5,7,12,129,67,196,208
399,0,0,0,0,0,0,0
400,1374,1479,2853,58,0,58,2911
401,3272,3524,6796,381,0,381,7177
402,918,769,1687,342,18,360,2047
403,20888,19048,39936,843,1030,1873,41809
404,0,0,0,34157,0,34157,34157
405,11,6,17,520,23,543,560
406,2638,2570,5208,696,435,1131,6339
407,0,1,1,9,5,14,15
408,261,187,448,14,15,29,477
409,0,0,0,0,0,0,0
410,4,3,7,2,3,5,12
411,0,0,0,77,0,77,77
412,0,0,0,0,0,0,0
413,344,308,652,56,36,92,744
414,0,0,0,0,0,0,0
415,7,6,13,1,0,1,14
416,4725,4213,8938,3825,2098,5923,14861
417,1131,1013,2144,189,118,307,2451
418,162,145,307,64,40,104,411
419,4,3,7,12,7,19,26
420,516,462,978,1323,832,2155,3133
421,224,201,425,45,29,74,499
422,989,783,1772,117,117,234,2006
423,2328,1844,4172,137,137,274,4446
424,1553,1230,2783,78,78,156,2939
425,2671,2219,4890,2222,2013,4235,9125
426,2875,2604,5479,10,94,104,5583
427,4150,3757,7907,79,713,792,8699
428,10409,9425,19834,138,1238,1376,21210
429,102,129,231,234,74,308,539
430,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0
432,4545,4312,8857,1574,2204,3778,12635
433,1239,1175,2414,170,238,408,2822
434,0,0,0,0,0,0,0
435,38,36,74,17,69,86,160
436,110,103,213,59,236,295,508
437,2436,2276,4712,205,819,1024,5736
438,1563,1460,3023,166,663,829,3852
439,1017,508,1525,103,51,154,1679
440,1087,893,1980,117,59,176,2156
441,0,0,0,0,0,0,0
442,8476,3207,11683,0,1093,1093,12776
443,0,0,0,50,1,51,51
444,776,293,1069,0,30,30,1099
445,79,0,79,764,9,773,852
446,8103,3066,11169,0,1903,1903,13072
447,1075,841,1916,512,183,695,2611
448,4566,4133,8699,490,1667,2157,10856
449,4035,3652,7687,440,1498,1938,9625
450,3,0,3,377,4,381,384
451,0,0,0,83,1,84,84
452,1,0,1,189,2,191,192
453,1,0,1,81,1,82,83
454,0,0,0,9230,0,9230,9230
455,138,107,245,97,25,122,367
456,4680,3603,8283,165,288,453,8736
457,0,0,0,0,0,0,0
458,2739,2108,4847,167,292,459,5306
459,814,627,1441,32,55,87,1528
460,0,0,0,43,0,43,43
461,0,0,0,0,0,0,0
462,239,215,454,157,98,255,709
463,3664,3295,6959,358,205,563,7522
464,5491,4938,10429,772,443,1215,11644
465,2527,2272,4799,369,212,581,5380
466,4562,4101,8663,533,306,839,9502
467,13707,13201,26908,1984,1288,3272,30180
468,945,910,1855,424,275,699,2554
469,3482,3328,6810,246,288,534,7344
470,9048,9357,18405,858,2348,3206,21611
471,7788,8055,15843,725,1985,2710,18553
472,1804,1655,3459,872,805,1677,5136
473,4599,4502,9101,2575,717,3292,12393
474,6085,5958,12043,4256,1186,5442,17485
475,6230,5712,11942,1645,1518,3163,15105
476,5836,4989,10825,1111,1362,2473,13298
477,4989,4266,9255,660,809,1469,10724
478,6805,6389,13194,8330,4259,12589,25783
479,259,252,511,13,25,38,549
480,2319,2086,4405,171,98,269,4674
481,51,45,96,3,1,4,100
482,210,188,398,10,6,16,414
483,1364,1226,2590,85,49,134,2724
484,2241,1947,4188,689,1138,1827,6015
485,2018,2087,4105,185,508,693,4798
